!!SBtab Level="1" Version "0.1" Document="Koenig2014_Hepatic_Glucose_Model_annotated" TableType="Compound" TableName="Compound"
!Compound	!Name	!SpeciesType	!Location	!Charge	!Constant	!SBOTerm	!InitialConcentration
atp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	2.8
adp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.8
amp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.16
utp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.27
udp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.09
gtp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.29
gdp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.1
nad		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	1.22
nadh		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.00056
phos		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	5.0
pp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.008
co2		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	5.0
h2o		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.0
h		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.0
glc1p		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.012
udpglc		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.38
glyglc		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	250.0
glc		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	5.0
glc6p		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.12
fru6p		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.05
fru16bp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.02
fru26bp		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.004
grap		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.1
dhap		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.03
bpg13		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.3
pg3		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.27
pg2		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.03
pep		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.15
pyr		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.1
oaa		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.01
lac		No species type given in SBML	cyto	0	False	No SBO term set in SBML.	0.5
glc_ext		No species type given in SBML	extern	0	False	No SBO term set in SBML.	3.0
lac_ext		No species type given in SBML	extern	0	False	No SBO term set in SBML.	1.2
co2_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	5.0
phos_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	5.0
oaa_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.01
pep_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.15
acoa_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.04
pyr_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.1
cit_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.32
atp_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	2.8
adp_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.8
gtp_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.29
gdp_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.1
coa_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.055
nadh_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.24
nad_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.98
h2o_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.0
h_mito		No species type given in SBML	mito	0	False	No SBO term set in SBML.	0.0
